Parts	Description	Value	Min. Rating	Package	Qty	Ex. Pt.	Manufacturer	MP#	Mouser P#	 M. Unit Price 	 M. Ext. Price 
"C_HF, C_I"	Capacitor		25V	Through-Hole	2						 $-   
C_P1-C_P2	Electrolytic Capacitor	220 uF ele	30V	"Radial, 10mm OD"	2	x	EPCOS	B41851A6227M000	871-B41851A6227M000	 $1.060 	 $2.12 
C_P3-C_P8	Ceramic Capacitor	10 uF Cer	30V	SMD 1206	6	x	Taiyo Yuden	GMK316F106ZL-T	963-GMK316F106ZL-T	 $0.460 	 $2.76 
C_P9-C_P12	Tantalum Capacitor	47 uF Tan	30V	SMD 2917	4		Kemet	T495X476K035ATE300	80-T495X476K35ATE300	 $2.260 	 $9.04 
C1-C15	Ceramic Capacitor	0.1uF	25V	SMD 0603	15	x	Vishay/Vitramon	VJ0603V104ZXXCW1BC	77-VJ0603V104ZXXCBC	 $0.060 	 $0.90 
C16-C18	Ceramic Capacitor	1uF	25V	SMD 0603	3	x	Kemet	C0603C105K3PACTU	80-C0603C105K3P	 $0.150 	 $0.45 
C19-C20	Electrolytic Capacitor	1000uF		"Radial, 10mm OD"	2	x	Lelon	REA102M1CBK-1016P	140-REA102M1CBK1016P	 $0.260 	 $0.52 
D1-D2	Switching/Signal Diode			SMD 0603	2	x	Comchip Technology	CDSU400B	750-CDSU400	 $0.220 	 $0.44 
H5	Heatsink			Aavid-B02500G	1		Aavid Thermalloy	529802B02500G	532-529802B25G	 $1.590 	 $1.59 
IC_P1_7915	"-15V, 1A Voltage Regulator"			D2PAK/TO-263	1		ON Semiconductor	MC7915CD2TG	863-MC7915CD2TG	 $0.780 	 $0.78 
IC_P2_7815	"+15V, 1A Voltage Regulator"			D2PAK/TO-263	1		ON Semiconductor	MC7815CD2TG	863-MC7815CD2TG	 $0.780 	 $0.78 
IC_P3_7918	"-18V, 1A Voltage Regulator"			TO-220	1		ON Semiconductor	MC7918CTG	863-MC7918CTG	 $0.590 	 $0.59 
IC_P4_7818	"+18V, 1A Voltage Regulator"			D2PAK/TO-263	1		ON Semiconductor	MC7818CD2TR4G	863-MC7818CD2TR4G	 $0.780 	 $0.78 
IC1	Low Noise Precision Op-Amp			SOIC-8	1		Analog Devices	OP27GSZ	584-OP27GSZ	 $3.130 	 $3.13 
IC2-IC3	Dual Low Noise Precision Op-Amp			SOIC-16W	2		Analog Devices	OP270GSZ	584-OP270GSZ	 $6.120 	 $12.24 
IC4-IC5	250mA High-Speed Buffer			SOIC-8	2		Texas Instruments	BUF634U	595-BUF634U	 $9.450 	 $18.90 
IC6	Schmitt Triggered Optocoupler			DIL-06 (Socketed)	1		Fairchild	H11L1M	512-H11L1M	 $0.880 	 $0.88 
IC7	Analog Switch IC			TSSOP-16	1		Analog Devices	ADG5412BRUZ	584-ADG5412BRUZ	 $5.820 	 $5.82 
J1	Neutrik 4-Pin XLR Jack			NC4MBH	1		Neutrik	NC4MBH	568-NC4MBH	 $4.290 	 $4.29 
"J2, J4"	50-Ohm BNC Jack			Amp-227161-3	2		TE Connectivity	5227161-3	571-5227161-3	 $3.720 	 $7.44 
